region,cluster,Drd1,Drd2,Drd3,Drd4,Drd5,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2c,Htr3a,Htr4,Htr6,Htr7,Chrm1,Chrm2,Chrm3,Chrm4,Chrm5,Chrna2,Chrna4,Chrna5,Chrna7,Chrnb2,Adra1a,Adra1b,Adra2a,Adra2c,Adrb1,Adrb2,Hrh1,Hrh2,Hrh3,Adora1,Adora2a,Cnr1,Oprk1,Oprd1,Oprm1,Npy1r,Npy2r,subclass
ALM,Vip Gpc3 Slc18a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7857142857142857,0.25,0.14285714285714285,0.2857142857142857,0.6071428571428571,0.2857142857142857,0.9285714285714286,0.21428571428571427,0.0,0.0,0.75,0.2857142857142857,0.32142857142857145,0.5357142857142857,0.6785714285714286,0.8214285714285714,0.6428571428571429,0.21428571428571427,0.75,0.0,0.07142857142857142,0.42857142857142855,0.25,0.07142857142857142,0.0,1.0,0.0,0.0,0.7857142857142857,0.9642857142857143,0.9285714285714286,Vip
ALM,Vip Igfbp4 Mab21l1,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.7647058823529411,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.47058823529411764,0.0,0.9411764705882353,0.23529411764705882,0.0,0.0,0.8823529411764706,0.47058823529411764,0.29411764705882354,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.058823529411764705,0.35294117647058826,0.6470588235294118,0.0,0.0,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.058823529411764705,1.0,0.058823529411764705,0.0,0.4117647058823529,0.9411764705882353,0.5882352941176471,Vip
ALM,Vip Igfbp6 Car10,0.10714285714285714,0.0,0.0,0.0,0.0,0.08928571428571429,0.16071428571428573,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.48214285714285715,0.8392857142857143,0.07142857142857142,0.03571428571428571,0.3392857142857143,0.48214285714285715,0.0,0.7857142857142857,0.0,0.14285714285714285,0.0,0.9464285714285714,0.42857142857142855,0.2857142857142857,0.4642857142857143,0.75,0.8928571428571429,0.32142857142857145,0.5714285714285714,0.4642857142857143,0.0,0.07142857142857142,0.25,0.9107142857142857,0.03571428571428571,0.0,1.0,0.05357142857142857,0.0,0.42857142857142855,0.9821428571428571,0.42857142857142855,Vip
ALM,Vip Igfbp6 Pltp,0.030303030303030304,0.0,0.0,0.0,0.0,0.07575757575757576,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.7121212121212122,0.6060606060606061,0.0,0.06060606060606061,0.06060606060606061,0.3181818181818182,0.0,0.5757575757575758,0.015151515151515152,0.06060606060606061,0.0,0.7424242424242424,0.12121212121212122,0.24242424242424243,0.4393939393939394,0.7727272727272727,0.5,0.3787878787878788,0.7121212121212122,0.45454545454545453,0.0,0.07575757575757576,0.21212121212121213,0.9696969696969697,0.0,0.0,1.0,0.0,0.015151515151515152,0.6818181818181818,0.8787878787878788,0.803030303030303,Vip
ALM,Vip Lect1 Oxtr,0.05555555555555555,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.16666666666666666,0.7638888888888888,0.1388888888888889,0.1388888888888889,0.4305555555555556,0.7083333333333334,0.013888888888888888,0.9444444444444444,0.013888888888888888,0.0,0.0,1.0,0.3472222222222222,0.3472222222222222,0.4861111111111111,0.4027777777777778,1.0,0.0,0.09722222222222222,0.7638888888888888,0.0,0.013888888888888888,0.4305555555555556,0.5833333333333334,0.0,0.0,1.0,0.027777777777777776,0.0,0.2361111111111111,0.9027777777777778,0.2638888888888889,Vip
ALM,Vip Lmo1 Fam159b,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.2708333333333333,0.0,0.0,0.125,0.041666666666666664,0.7083333333333334,0.9166666666666666,0.2708333333333333,0.4583333333333333,0.25,0.3541666666666667,0.0,0.9375,0.041666666666666664,0.0625,0.041666666666666664,0.9791666666666666,0.14583333333333334,0.2708333333333333,0.5625,0.2916666666666667,0.8541666666666666,0.7708333333333334,0.3541666666666667,0.14583333333333334,0.0625,0.020833333333333332,0.6458333333333334,0.25,0.08333333333333333,0.0,1.0,0.08333333333333333,0.0,0.8333333333333334,0.9791666666666666,0.7708333333333334,Vip
ALM,Vip Lmo1 Myl1,0.26785714285714285,0.03571428571428571,0.0,0.21428571428571427,0.0,0.23214285714285715,0.0,0.0,0.14285714285714285,0.017857142857142856,0.21428571428571427,0.9107142857142857,0.3392857142857143,0.14285714285714285,0.21428571428571427,0.8214285714285714,0.0,0.9107142857142857,0.017857142857142856,0.0,0.017857142857142856,0.9821428571428571,0.07142857142857142,0.19642857142857142,0.625,0.125,0.9285714285714286,0.4107142857142857,0.125,0.16071428571428573,0.0,0.017857142857142856,0.5892857142857143,0.3392857142857143,0.10714285714285714,0.0,1.0,0.0,0.017857142857142856,0.5714285714285714,0.9642857142857143,0.5714285714285714,Vip
ALM,Vip Ptprt Pkp2,0.014705882352941176,0.007352941176470588,0.0,0.07352941176470588,0.0,0.058823529411764705,0.0,0.0,0.007352941176470588,0.014705882352941176,0.6323529411764706,0.47058823529411764,0.3602941176470588,0.10294117647058823,0.17647058823529413,0.6617647058823529,0.07352941176470588,0.9044117647058824,0.058823529411764705,0.007352941176470588,0.0,0.8235294117647058,0.16176470588235295,0.16176470588235295,0.5,0.18382352941176472,0.8088235294117647,0.27205882352941174,0.1323529411764706,0.4117647058823529,0.0,0.007352941176470588,0.35294117647058826,0.2867647058823529,0.1323529411764706,0.007352941176470588,1.0,0.022058823529411766,0.0,0.7352941176470589,0.9338235294117647,0.9632352941176471,Vip
ALM,Vip Pygm C1ql1,0.125,0.03409090909090909,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456,0.7386363636363636,0.75,0.14772727272727273,0.09090909090909091,0.36363636363636365,0.625,0.045454545454545456,0.6931818181818182,0.09090909090909091,0.0,0.0,0.7272727272727273,0.7840909090909091,0.125,0.5227272727272727,0.7272727272727273,1.0,0.2840909090909091,0.2840909090909091,0.8863636363636364,0.0,0.32954545454545453,0.5681818181818182,0.9204545454545454,0.14772727272727273,0.0,1.0,0.13636363636363635,0.0,0.2159090909090909,0.9659090909090909,0.32954545454545453,Vip
ALM,Vip Rspo1 Itga4,0.07692307692307693,0.17307692307692307,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.07692307692307693,0.0,0.8846153846153846,0.7692307692307693,0.3269230769230769,0.25,0.3076923076923077,0.5,0.0,0.9423076923076923,0.038461538461538464,0.019230769230769232,0.0,0.7884615384615384,0.5384615384615384,0.07692307692307693,0.4807692307692308,0.25,1.0,0.09615384615384616,0.17307692307692307,0.75,0.0,0.038461538461538464,0.40384615384615385,0.6923076923076923,0.019230769230769232,0.0,1.0,0.0,0.0,0.09615384615384616,0.9038461538461539,0.15384615384615385,Vip
ALM,Vip Rspo4 Rxfp1 Chat,0.05714285714285714,0.0,0.0,0.08571428571428572,0.0,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.8857142857142857,0.5714285714285714,0.37142857142857144,0.08571428571428572,0.3142857142857143,0.4857142857142857,0.0,0.8571428571428571,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.6571428571428571,0.6,0.05714285714285714,0.45714285714285713,0.34285714285714286,0.9428571428571428,0.4857142857142857,0.22857142857142856,0.45714285714285713,0.0,0.0,0.2571428571428571,0.7428571428571429,0.14285714285714285,0.0,1.0,0.05714285714285714,0.0,0.34285714285714286,0.9142857142857143,0.8571428571428571,Vip
VISp,L2/3 IT ALM Macc1 Lrg1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
VISp,L2/3 IT ALM Ptrf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
VISp,L2/3 IT ALM Sla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
VISp,L2/3 IT VISp Adamts2,0.01932367149758454,0.0,0.0,0.06280193236714976,0.004830917874396135,0.3719806763285024,0.0966183574879227,0.0,0.014492753623188406,0.2028985507246377,0.004830917874396135,0.01932367149758454,0.00966183574879227,0.28019323671497587,0.13043478260869565,0.9951690821256038,0.004830917874396135,0.9758454106280193,0.30917874396135264,0.00966183574879227,0.03864734299516908,0.06763285024154589,0.0,0.05314009661835749,0.33816425120772947,0.014492753623188406,0.06763285024154589,0.34782608695652173,0.6231884057971014,0.8840579710144928,0.043478260869565216,0.642512077294686,0.38164251207729466,0.26570048309178745,0.6618357487922706,0.004830917874396135,0.9420289855072463,0.004830917874396135,0.09178743961352658,0.14492753623188406,0.821256038647343,0.0966183574879227,L2/3 IT
VISp,L2/3 IT VISp Agmat,0.019756838905775075,0.001519756838905775,0.0,0.196048632218845,0.0060790273556231,0.1945288753799392,0.09422492401215805,0.0,0.00911854103343465,0.23708206686930092,0.025835866261398176,0.025835866261398176,0.007598784194528876,0.3434650455927052,0.3890577507598784,0.993920972644377,0.24164133738601823,0.993920972644377,0.44832826747720367,0.010638297872340425,0.041033434650455926,0.16869300911854104,0.00303951367781155,0.05927051671732523,0.41185410334346506,0.05015197568389058,0.2674772036474164,0.1094224924012158,0.6945288753799392,0.9574468085106383,0.0364741641337386,0.7537993920972644,0.5501519756838906,0.21124620060790272,0.9331306990881459,0.001519756838905775,0.9544072948328267,0.001519756838905775,0.12310030395136778,0.1884498480243161,0.9346504559270516,0.034954407294832825,L2/3 IT
VISp,L2/3 IT VISp Rrad,0.009708737864077669,0.0,0.0,0.1262135922330097,0.009708737864077669,0.32038834951456313,0.14563106796116504,0.0,0.019417475728155338,0.36893203883495146,0.0,0.009708737864077669,0.019417475728155338,0.1650485436893204,0.0970873786407767,0.9611650485436893,0.08737864077669903,1.0,0.44660194174757284,0.0,0.05825242718446602,0.04854368932038835,0.009708737864077669,0.07766990291262135,0.2815533980582524,0.019417475728155338,0.06796116504854369,0.22330097087378642,0.33980582524271846,1.0,0.009708737864077669,0.5728155339805825,0.30097087378640774,0.23300970873786409,0.8737864077669902,0.0,0.912621359223301,0.0,0.019417475728155338,0.0970873786407767,0.7087378640776699,0.04854368932038835,L2/3 IT
VISp,Lamp5 Fam19a1 Pax6,0.11627906976744186,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.13953488372093023,0.2558139534883721,0.813953488372093,0.20930232558139536,0.18604651162790697,0.32558139534883723,0.7906976744186046,0.0,0.8372093023255814,0.046511627906976744,0.0,0.0,1.0,0.11627906976744186,0.9767441860465116,0.5116279069767442,0.9069767441860465,0.9767441860465116,0.06976744186046512,0.37209302325581395,0.32558139534883723,0.0,0.5813953488372093,0.7209302325581395,0.5581395348837209,0.0,0.0,1.0,0.0,0.0,0.3023255813953488,0.813953488372093,0.5348837209302325,Lamp5
VISp,Lamp5 Fam19a1 Tmem182,0.6888888888888889,0.0,0.0,0.0,0.0,0.37777777777777777,0.24444444444444444,0.0,0.06666666666666667,0.044444444444444446,0.0,0.6888888888888889,0.13333333333333333,0.2,0.2,0.8,0.0,0.9111111111111111,0.06666666666666667,0.0,0.0,0.9777777777777777,0.08888888888888889,0.8444444444444444,0.7555555555555555,0.9333333333333333,0.9777777777777777,0.044444444444444446,0.37777777777777777,0.6444444444444445,0.06666666666666667,0.7333333333333333,0.5777777777777777,0.4666666666666667,0.022222222222222223,0.0,1.0,0.0,0.0,0.08888888888888889,0.8444444444444444,0.9333333333333333,Lamp5
VISp,Lamp5 Krt73,0.024390243902439025,0.0,0.024390243902439025,0.0,0.07317073170731707,0.3170731707317073,0.0,0.0,0.024390243902439025,0.2682926829268293,0.0,0.14634146341463414,0.04878048780487805,0.024390243902439025,0.7560975609756098,0.8780487804878049,0.04878048780487805,0.975609756097561,0.0,0.0,0.0,0.975609756097561,0.04878048780487805,0.9512195121951219,0.7073170731707317,0.36585365853658536,0.4146341463414634,0.04878048780487805,0.1951219512195122,0.024390243902439025,0.0,0.43902439024390244,0.7073170731707317,0.8048780487804879,0.024390243902439025,0.0,1.0,0.0,0.0,0.7073170731707317,0.2926829268292683,0.0975609756097561,Lamp5
VISp,Lamp5 Lhx6,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.3,0.025,0.1,0.0,0.025,0.6,0.875,0.025,0.725,0.175,0.0,0.0,0.175,0.1,0.35,0.675,0.875,0.025,0.025,0.025,0.6,0.025,0.05,0.275,0.575,0.05,0.0,0.575,0.0,0.0,0.975,0.125,0.0,Lamp5
VISp,Lamp5 Lsp1,0.4164705882352941,0.09411764705882353,0.0,0.002352941176470588,0.0,0.13647058823529412,0.14588235294117646,0.0,0.8705882352941177,0.7082352941176471,0.03529411764705882,0.1811764705882353,0.02823529411764706,0.009411764705882352,0.07294117647058823,0.8847058823529412,0.009411764705882352,0.5105882352941177,0.2188235294117647,0.011764705882352941,0.007058823529411765,0.9505882352941176,0.3835294117647059,0.52,0.691764705882353,0.9552941176470588,0.8752941176470588,0.14352941176470588,0.03764705882352941,0.46352941176470586,0.018823529411764704,0.2376470588235294,0.28941176470588237,0.9317647058823529,0.17411764705882352,0.0,0.9670588235294117,0.0,0.002352941176470588,0.9317647058823529,0.17882352941176471,0.02588235294117647,Lamp5
VISp,Lamp5 Ntn1 Npy2r,0.6988636363636364,0.0,0.0,0.0,0.0,0.13068181818181818,0.30113636363636365,0.0,0.03977272727272727,0.30113636363636365,0.011363636363636364,0.2727272727272727,0.0625,0.03409090909090909,0.10795454545454546,0.875,0.005681818181818182,0.45454545454545453,0.022727272727272728,0.011363636363636364,0.005681818181818182,0.9261363636363636,0.10227272727272728,0.5511363636363636,0.5284090909090909,0.8920454545454546,0.9602272727272727,0.14772727272727273,0.29545454545454547,0.5909090909090909,0.005681818181818182,0.5340909090909091,0.24431818181818182,0.6136363636363636,0.045454545454545456,0.0,1.0,0.022727272727272728,0.005681818181818182,0.21022727272727273,0.6931818181818182,0.6136363636363636,Lamp5
VISp,Lamp5 Plch2 Dock5,0.37,0.0,0.0,0.0,0.0033333333333333335,0.08666666666666667,0.25,0.0,0.07666666666666666,0.75,0.02666666666666667,0.14,0.01,0.006666666666666667,0.13333333333333333,0.8466666666666667,0.006666666666666667,0.38333333333333336,0.05333333333333334,0.01,0.0033333333333333335,0.92,0.11333333333333333,0.6066666666666667,0.48,0.9566666666666667,0.9333333333333333,0.24666666666666667,0.13666666666666666,0.5266666666666666,0.0033333333333333335,0.59,0.15666666666666668,0.77,0.023333333333333334,0.0,0.9966666666666667,0.0,0.0033333333333333335,0.54,0.30333333333333334,0.09666666666666666,Lamp5
VISp,Serpinf1 Aqp5 Vip,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.625,0.8125,0.6875,0.25,0.1875,0.5625,0.75,0.0,0.8125,0.0625,0.0,0.0,0.875,0.8125,0.375,0.4375,0.6875,1.0,0.25,0.1875,0.3125,0.0,0.375,0.6875,0.75,0.0625,0.0,1.0,0.0,0.0,0.375,0.6875,0.0625,Serpinf1
VISp,Serpinf1 Clrn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serpinf1
VISp,Sncg Gpr50,0.0,0.6785714285714286,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,1.0,0.0,0.6071428571428571,0.5714285714285714,0.32142857142857145,0.03571428571428571,0.7857142857142857,0.21428571428571427,0.0,0.0,1.0,0.9285714285714286,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.7857142857142857,0.75,0.6428571428571429,0.9285714285714286,0.07142857142857142,0.39285714285714285,0.8571428571428571,0.8571428571428571,0.0,0.10714285714285714,1.0,0.0,0.0,0.17857142857142858,0.9285714285714286,1.0,Sncg
VISp,Sncg Slc17a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sncg
VISp,Sncg Vip Itih5,0.391304347826087,0.10869565217391304,0.0,0.2391304347826087,0.021739130434782608,0.10869565217391304,0.0,0.0,0.043478260869565216,0.34782608695652173,0.9565217391304348,1.0,0.10869565217391304,0.5434782608695652,0.9565217391304348,0.8043478260869565,0.10869565217391304,1.0,0.043478260869565216,0.0,0.0,1.0,0.6521739130434783,0.8260869565217391,0.6739130434782609,0.7608695652173914,1.0,0.5869565217391305,0.5217391304347826,0.6956521739130435,0.021739130434782608,0.10869565217391304,0.8913043478260869,0.8478260869565217,0.021739130434782608,0.06521739130434782,1.0,0.06521739130434782,0.043478260869565216,0.10869565217391304,1.0,0.45652173913043476,Sncg
VISp,Sncg Vip Nptx2,0.05128205128205128,0.1794871794871795,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.7692307692307693,1.0,0.0,0.46153846153846156,0.48717948717948717,0.6410256410256411,0.0,0.9230769230769231,0.07692307692307693,0.02564102564102564,0.0,1.0,0.6666666666666666,0.6923076923076923,0.6410256410256411,0.5641025641025641,1.0,0.46153846153846156,0.5128205128205128,0.6410256410256411,0.0,0.4358974358974359,0.7692307692307693,0.7435897435897436,0.02564102564102564,0.0,1.0,0.0,0.0,0.20512820512820512,0.9743589743589743,0.9743589743589743,Sncg
VISp,Vip Arhgap36 Hmcn1,0.09693877551020408,0.00510204081632653,0.0,0.0,0.0,0.015306122448979591,0.00510204081632653,0.0,0.00510204081632653,0.01020408163265306,0.6122448979591837,0.5612244897959183,0.03571428571428571,0.24489795918367346,0.061224489795918366,0.6071428571428571,0.01020408163265306,0.7091836734693877,0.1326530612244898,0.00510204081632653,0.00510204081632653,0.5153061224489796,0.35714285714285715,0.22448979591836735,0.45918367346938777,0.8826530612244898,0.8010204081632653,0.27040816326530615,0.34183673469387754,0.7448979591836735,0.0,0.17857142857142858,0.45408163265306123,0.4642857142857143,0.07653061224489796,0.0,1.0,0.015306122448979591,0.01020408163265306,0.9132653061224489,0.9591836734693877,0.9948979591836735,Vip
VISp,Vip Chat Htr1f,0.4046242774566474,0.011560693641618497,0.0,0.005780346820809248,0.005780346820809248,0.08670520231213873,0.0,0.0,0.5317919075144508,0.3352601156069364,0.9421965317919075,0.7861271676300579,0.3352601156069364,0.14450867052023122,0.21965317919075145,0.4277456647398844,0.017341040462427744,0.8786127167630058,0.05202312138728324,0.017341040462427744,0.0,0.7167630057803468,0.6127167630057804,0.15028901734104047,0.5260115606936416,0.4682080924855491,1.0,0.09248554913294797,0.07514450867052024,0.5375722543352601,0.0,0.37572254335260113,0.5375722543352601,0.5722543352601156,0.06358381502890173,0.0,1.0,0.005780346820809248,0.005780346820809248,0.023121387283236993,0.8670520231213873,0.04046242774566474,Vip
VISp,Vip Col15a1 Pde1a,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.9655172413793104,0.10344827586206896,0.3448275862068966,0.5517241379310345,0.5172413793103449,0.0,1.0,0.034482758620689655,0.0,0.0,0.9655172413793104,0.5172413793103449,0.6206896551724138,0.4827586206896552,0.5172413793103449,1.0,0.3448275862068966,0.13793103448275862,0.6551724137931034,0.0,0.3448275862068966,0.8620689655172413,0.4482758620689655,0.0,0.0,1.0,0.0,0.0,0.10344827586206896,1.0,0.6206896551724138,Vip
VISp,Vip Crispld2 Htr2c,0.33540372670807456,0.024844720496894408,0.0,0.031055900621118012,0.08695652173913043,0.024844720496894408,0.0,0.0,0.031055900621118012,0.043478260869565216,0.639751552795031,1.0,0.2608695652173913,0.10559006211180125,0.4658385093167702,0.5590062111801242,0.0,0.9937888198757764,0.031055900621118012,0.0,0.0,0.9192546583850931,0.2546583850931677,0.4782608695652174,0.4906832298136646,0.37267080745341613,1.0,0.055900621118012424,0.07453416149068323,0.6273291925465838,0.0,0.18633540372670807,0.639751552795031,0.4409937888198758,0.018633540372670808,0.0,1.0,0.0,0.0,0.055900621118012424,0.8757763975155279,0.062111801242236024,Vip
VISp,Vip Crispld2 Kcne4,0.2545454545454545,0.09090909090909091,0.0,0.06363636363636363,0.08181818181818182,0.01818181818181818,0.0,0.0,0.05454545454545454,0.0,0.06363636363636363,1.0,0.15454545454545454,0.10909090909090909,0.5,0.7636363636363637,0.02727272727272727,0.9818181818181818,0.02727272727272727,0.00909090909090909,0.0,0.9636363636363636,0.17272727272727273,0.41818181818181815,0.509090909090909,0.2727272727272727,1.0,0.01818181818181818,0.10909090909090909,0.7181818181818181,0.0,0.21818181818181817,0.7272727272727273,0.7181818181818181,0.03636363636363636,0.0,1.0,0.0,0.0,0.045454545454545456,0.6909090909090909,0.01818181818181818,Vip
VISp,Vip Gpc3 Slc18a3,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.010869565217391304,0.7282608695652174,0.6956521739130435,0.15217391304347827,0.30434782608695654,0.03260869565217391,0.4673913043478261,0.05434782608695652,0.8369565217391305,0.06521739130434782,0.010869565217391304,0.03260869565217391,0.7065217391304348,0.15217391304347827,0.31521739130434784,0.5434782608695652,0.5869565217391305,0.7934782608695652,0.45652173913043476,0.2391304347826087,0.6413043478260869,0.021739130434782608,0.010869565217391304,0.4891304347826087,0.20652173913043478,0.03260869565217391,0.0,1.0,0.010869565217391304,0.0,0.7391304347826086,1.0,1.0,Vip
VISp,Vip Igfbp4 Mab21l1,0.14035087719298245,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.21052631578947367,0.43859649122807015,0.07017543859649122,0.10526315789473684,0.08771929824561403,0.631578947368421,0.017543859649122806,0.9122807017543859,0.07017543859649122,0.017543859649122806,0.0,0.5964912280701754,0.45614035087719296,0.24561403508771928,0.3508771929824561,0.6666666666666666,0.9473684210526315,0.0,0.24561403508771928,0.5614035087719298,0.0,0.017543859649122806,0.3508771929824561,0.5789473684210527,0.017543859649122806,0.0,1.0,0.017543859649122806,0.0,0.3684210526315789,1.0,0.8421052631578947,Vip
