subclass,region,gene,n_clusters,mean,std,cv
Lamp5,ALM,Chrnb2,7,0.12368831418159039,0.01840531806641205,0.14880281444030719
Lamp5,ALM,Adra1a,7,0.47995591381154784,0.18255273904507596,0.38035234787086364
Lamp5,ALM,Adra1b,7,0.262229421853517,0.1613960356182279,0.6154741104309569
Lamp5,ALM,Adra2a,7,0.0448704502025104,0.03520810166184529,0.7846437211845568
Lamp5,ALM,Adra2c,7,0.09632276627838085,0.09457796706148743,0.981875716821039
Lamp5,ALM,Adrb1,7,0.06352368775095371,0.03664159008122918,0.5768086609867527
Lamp5,ALM,Adrb2,7,0.004550251225045911,0.007151838862777235,1.57140059054971
Lamp5,ALM,Hrh1,7,0.14860941259057037,0.10255881627837331,0.690118643038347
Lamp5,ALM,Hrh2,7,0.13851330337525827,0.0702616053321176,0.5072516239840389
Lamp5,ALM,Hrh3,7,0.2482571914376395,0.15731148830138586,0.633660816549134
Lamp5,ALM,Adora1,7,0.025076147143076766,0.0382457804102837,1.525124855394187
Lamp5,ALM,Adora2a,7,1.727269360791e-05,4.230928582281211e-05,2.3154378183464424
Lamp5,ALM,Cnr1,7,2.2754328344749264,1.2337262671692708,0.5421938658365614
Lamp5,ALM,Oprd1,7,2.4174707299914787e-05,5.921569756592689e-05,2.352190111307762
Lamp5,ALM,Oprk1,7,0.0005203663020338357,0.0012440309162245874,2.386097665636725
Lamp5,ALM,Oprm1,7,0.277248308949524,0.21508320213587603,0.7757754309679238
Lamp5,ALM,Npy1r,7,0.35170814288658386,0.2977913349990676,0.8466977359616064
Lamp5,ALM,Npy2r,7,0.10175415150769247,0.12730704890856037,1.251111585234446
Vip,VISp,Drd1,16,0.08743639335782488,0.056864578210401265,0.6503462194680393
Vip,VISp,Drd2,16,0.0037414999746423153,0.005574639945415434,1.4895497617066042
Vip,VISp,Drd4,16,0.013268178167020044,0.019229746922496946,1.4492040637672372
Vip,VISp,Drd5,16,0.003544933007198938,0.0072514088775067825,2.044993197216361
Vip,VISp,Htr1a,16,0.029073156727493936,0.03619472594873245,1.2449106018096463
Vip,VISp,Htr1b,16,0.00022632558901834355,0.0007429198763051998,3.268087325819055
Vip,VISp,Htr1d,16,0.0,0.0,0.0
Vip,VISp,Htr1f,16,0.020234916073986302,0.06755498015325763,3.338370247547181
Vip,VISp,Htr2a,16,0.01736026742384536,0.04804122376812916,2.7671495746989923
Vip,VISp,Htr2c,16,0.33259867213185024,0.26075057281025144,0.7839772394811138
Vip,VISp,Htr3a,16,1.0851895965328413,0.8287047877480952,0.7636490680953076
Vip,VISp,Htr4,16,0.06369705535638631,0.04648669910850186,0.7297977755900383
Vip,VISp,Htr6,16,0.03465292756684453,0.027970635257847744,0.8071418514941697
Vip,VISp,Htr7,16,0.12865778592810678,0.08181640193832053,0.6359177210333595
Vip,VISp,Chrm1,16,0.28350773992160416,0.10693347885929047,0.3771787737085627
Vip,VISp,Chrm2,16,0.005113084936847127,0.009315641031595871,1.8215655677668576
Vip,VISp,Chrm3,16,0.2563824727745053,0.08483952295156265,0.33090870497015545
Vip,VISp,Chrm4,16,0.014033929298319748,0.012615936785123011,0.8988956422198281
Vip,VISp,Chrm5,16,0.001764279042564603,0.0025761515503725627,1.459345229992603
Vip,VISp,Chrna2,16,0.00015790037698296613,0.00044429506470535147,2.7960604823044517
Vip,VISp,Chrna4,16,0.4023092816199122,0.16957628043838227,0.4215062059949829
Vip,VISp,Chrna5,16,0.20145306317964323,0.1624878918166874,0.8065754011215529
Vip,VISp,Chrna7,16,0.12261044652185785,0.07719886585525375,0.6296220136469197
Vip,VISp,Chrnb2,16,0.12714810379346705,0.0223940906481247,0.17612464405962502
Vip,VISp,Adra1a,16,0.19700202960093413,0.15067625713342558,0.7648423348546876
Vip,VISp,Adra1b,16,0.7677009317694472,0.4506606301540115,0.5870255257991872
Vip,VISp,Adra2a,16,0.05515772557900289,0.060184575763821406,1.091116140412274
Vip,VISp,Adra2c,16,0.07443978536076205,0.06906082614427371,0.927728338834478
Vip,VISp,Adrb1,16,0.11744048517475188,0.04971477730500876,0.42331529809107593
Vip,VISp,Adrb2,16,0.0011996150593318934,0.0020925056731797217,1.742861424996734
Vip,VISp,Hrh1,16,0.06220507707068452,0.0626738386772437,1.0075195483879762
Vip,VISp,Hrh2,16,0.2580397850868811,0.13178193186072948,0.510701948982054
Vip,VISp,Hrh3,16,0.1504944184791872,0.08576831157756888,0.569906462564043
Vip,VISp,Adora1,16,0.005092342606400536,0.005425252896950588,1.065165514319213
Vip,VISp,Adora2a,16,0.0,0.0,0.0
Vip,VISp,Cnr1,16,2.2642454378549344,0.541883176753973,0.23932164259793806
Vip,VISp,Oprd1,16,0.0005608554192343087,0.001539772637014549,2.7405139904371425
Vip,VISp,Oprk1,16,0.0032995454844047542,0.005170452530042272,1.566544849774961
Vip,VISp,Oprm1,16,0.23576692755722026,0.23472286480539392,0.9955674091779396
Vip,VISp,Npy1r,16,1.0035458648623905,0.24766556639801837,0.24679023478587528
Vip,VISp,Npy2r,16,0.6665451576611368,0.5648140658118304,0.8473742730641834
Vip,ALM,Drd1,16,0.03338354054083853,0.034817530052230386,1.0429237451879534
Vip,ALM,Drd2,16,0.015325847227318775,0.025208976343365993,1.6447594191735129
Vip,ALM,Drd4,16,0.013998736733699009,0.019106942114028035,1.36480724441306
Vip,ALM,Drd5,16,0.0005237311084157729,0.0019851927523168,3.7832572158916564
Vip,ALM,Htr1a,16,0.016794160999255923,0.025489070943824736,1.517643739464836
Vip,ALM,Htr1b,16,0.0016700352305930523,0.003968937174193581,2.3751367425000374
Vip,ALM,Htr1d,16,0.0002526548678760907,0.0009785280956223345,3.8577146333353283
Vip,ALM,Htr1f,16,0.03249996816189001,0.08982227300155657,2.7636799172918294
Vip,ALM,Htr2a,16,0.012503692021124177,0.038643961293080224,3.090356901857237
Vip,ALM,Htr2c,16,0.3990769838919062,0.2662371946881429,0.6671307499645373
Vip,ALM,Htr3a,16,1.2098232844542633,0.8530301415826189,0.7050859802896172
Vip,ALM,Htr4,16,0.057832721397132116,0.0402805633567014,0.6964892174256463
Vip,ALM,Htr6,16,0.0339060531917193,0.027953211908248506,0.8244069972755749
Vip,ALM,Htr7,16,0.1197937652713031,0.06810926641428537,0.5685496044842703
Vip,ALM,Chrm1,16,0.22286039881508574,0.08339716637313366,0.37421090784021593
Vip,ALM,Chrm2,16,0.008362841774132683,0.017807622355059494,2.1291199470241198
Vip,ALM,Chrm3,16,0.27097299998712987,0.08860467569230174,0.3269858942057544
Vip,ALM,Chrm4,16,0.028431812456834016,0.03665480595681428,1.2891727124238126
Vip,ALM,Chrm5,16,0.008105237057158056,0.020304127649243903,2.5047537477718764
Vip,ALM,Chrna2,16,0.0008679714108330038,0.0028173863796103183,3.2422083678328915
Vip,ALM,Chrna4,16,0.48084948186715076,0.2098215180021723,0.4363550124509218
Vip,ALM,Chrna5,16,0.2523429868214087,0.19130124808066107,0.7580971137467628
Vip,ALM,Chrna7,16,0.08524430923510341,0.04283650992735395,0.5025087047219506
Vip,ALM,Chrnb2,16,0.1425937460318784,0.02591999987720378,0.18177387735877112
Vip,ALM,Adra1a,16,0.19483777877633282,0.15856462135097577,0.8138247547373598
Vip,ALM,Adra1b,16,0.7109828598912584,0.4146338559210033,0.5831832187926455
Vip,ALM,Adra2a,16,0.08953720524229197,0.08040153609754629,0.8979578703859241
Vip,ALM,Adra2c,16,0.09972068619571414,0.08412984268394359,0.8436464112613384
Vip,ALM,Adrb1,16,0.1506930998276865,0.07399324546145514,0.4910162079740604
Vip,ALM,Adrb2,16,0.001462320673256767,0.0056635436143382765,3.8703366376513304
Vip,ALM,Hrh1,16,0.03777208249180655,0.038660632502023624,1.0234968912163733
Vip,ALM,Hrh2,16,0.2642728590765859,0.14698648062600234,0.5561900111482689
Vip,ALM,Hrh3,16,0.24254015530808376,0.14411600451714016,0.5941919602637303
Vip,ALM,Adora1,16,0.021416056207808086,0.020063690879368046,0.9368089939481673
Vip,ALM,Adora2a,16,0.00041249723426839825,0.0015884774031457308,3.841567177483612
Vip,ALM,Cnr1,16,2.4095263879344264,0.5126897818449373,0.21277607567865908
Vip,ALM,Oprd1,16,2.809903985283327e-05,6.606689977738406e-05,2.270415110309949
Vip,ALM,Oprk1,16,0.012459047780537861,0.019475291953342768,1.5630190426526664
Vip,ALM,Oprm1,16,0.2524195370154887,0.2204974888845436,0.8735322866023922
Vip,ALM,Npy1r,16,0.9738369505867825,0.27202350149811416,0.27933138294128645
Vip,ALM,Npy2r,16,0.5408151848657065,0.4610793454983932,0.8525620319829865
Sncg,VISp,Drd1,4,,,
Sncg,VISp,Drd2,4,,,
Sncg,VISp,Drd4,4,,,
Sncg,VISp,Drd5,4,,,
Sncg,VISp,Htr1a,4,,,
Sncg,VISp,Htr1b,4,,,
Sncg,VISp,Htr1d,4,,,
Sncg,VISp,Htr1f,4,,,
Sncg,VISp,Htr2a,4,,,
Sncg,VISp,Htr2c,4,,,
Sncg,VISp,Htr3a,4,,,
Sncg,VISp,Htr4,4,,,
Sncg,VISp,Htr6,4,,,
Sncg,VISp,Htr7,4,,,
Sncg,VISp,Chrm1,4,,,
Sncg,VISp,Chrm2,4,,,
Sncg,VISp,Chrm3,4,,,
Sncg,VISp,Chrm4,4,,,
Sncg,VISp,Chrm5,4,,,
Sncg,VISp,Chrna2,4,,,
Sncg,VISp,Chrna4,4,,,
Sncg,VISp,Chrna5,4,,,
Sncg,VISp,Chrna7,4,,,
Sncg,VISp,Chrnb2,4,,,
Sncg,VISp,Adra1a,4,,,
Sncg,VISp,Adra1b,4,,,
Sncg,VISp,Adra2a,4,,,
