roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
619,620,13.360811304319418,0.54576886,-0.037836447,0.35967478,389.885,-201.77892,379.63226,-210.34586
643,1291,29.14118739531743,0.5435928,0.32712215,0.3052013,379.47565,148.26016,356.4369,130.41571
543,575,44.93612608169678,0.5431795,0.40604824,0.17838313,269.75024,298.47357,306.088,272.03833
721,1064,27.69634989240202,0.54287773,-0.043005757,0.25990957,455.2414,327.59766,471.98022,349.66345
659,680,44.313586957675454,0.5427398,-0.060549483,0.34780234,405.38934,-216.12302,448.38995,-226.8301
901,1231,39.934044604080725,0.54265356,0.032023594,0.10283592,84.272705,-190.41998,116.26831,-214.31578
734,1107,21.591977437358658,0.54177845,-0.037864823,0.19405954,506.5622,12.966705,519.6105,-4.236664
729,762,35.013785831221604,0.540094,0.52683926,0.39344317,521.40283,-102.57057,552.7081,-86.887985
507,536,43.21817193520474,0.53764397,0.5431996,0.077795416,217.5473,194.65369,244.99689,161.2721
0,851,31.923874599745176,0.5373982,0.7429762,0.22833867,-468.5371,-177.87436,-439.93628,-192.05626
860,1083,14.201039880314703,0.53735995,0.5906753,0.30327976,-31.05777,-190.69435,-36.18524,-203.93741
436,468,44.54878585508745,0.5364967,0.57832056,0.24223949,137.95093,84.04898,181.59851,75.13367
601,938,41.60909979386922,0.5355772,0.4907474,0.2869202,321.13647,54.895813,280.86035,65.34335
851,928,34.75498853847157,0.53504515,0.37363958,0.3931981,-439.93628,-192.05626,-473.47287,-201.17801
2,20,43.364305772017666,0.53344035,0.6280399,0.44862705,-473.34583,-93.76131,-439.1261,-67.12537
633,636,30.328379064532594,0.53335834,0.5611389,0.33229452,380.6167,24.1138,376.5229,54.16461
3,1290,22.528580339221882,0.5325967,0.4223923,0.274883,-456.3474,-109.46719,-468.00974,-128.74223
612,649,29.95923064934424,0.5309879,0.23051071,0.039643124,345.99542,223.89545,375.90454,222.16336
554,593,37.491486736633625,0.529329,0.7708079,0.1279689,310.7948,-65.699036,347.06238,-56.197754
636,947,48.93625622073253,0.5289618,0.03908756,0.11136654,376.5229,54.16461,425.21027,49.235474
1065,1083,17.293872712496842,0.52823645,0.6779703,0.51664364,-38.15335,-221.11893,-36.18524,-203.93741
874,1121,40.85334984464685,0.5276776,0.44256547,0.17769235,5.9989014,77.68506,46.71875,74.38504
641,1022,27.54104237056037,0.52681696,0.14751813,0.13008708,376.8432,127.40567,355.55908,144.8841
755,759,38.718074763266586,0.52628386,-0.43203232,0.2799622,563.8884,-217.73842,549.67896,-181.72203
513,514,21.808744865966148,0.5252959,0.43008777,0.4301006,267.78577,-206.9704,252.11841,-191.79953
369,797,15.92269109281286,0.5252809,0.10973183,0.35166153,58.258118,39.161743,72.336914,46.599457
381,838,23.705378619845742,0.5250988,0.710502,0.17687565,65.86255,327.8656,43.980347,336.9823
220,1026,14.338467071829832,0.522698,0.3321184,0.2139618,-140.01025,120.57031,-128.40723,128.99417
450,451,39.03063562141007,0.52139324,0.09182893,0.1507689,128.14355,317.17627,139.6792,354.46326
332,1150,29.97177413749645,0.52103096,0.5084841,0.069692746,5.386505,-123.990105,-1.521637,-94.82532
733,734,32.326736878850774,0.5203339,0.43495584,0.30784854,502.04895,-19.043427,506.5622,12.966705
791,836,40.92436836635079,0.5195197,0.41205046,0.28366876,573.9806,130.34473,576.89197,171.1654
671,673,25.918092292014727,0.5192051,0.3391602,0.11592466,424.87274,111.15872,420.86615,136.76526
793,1265,29.903654759020714,0.5189277,0.7480043,0.4387252,564.1245,371.002,534.70154,365.66187
166,170,27.04774348951888,0.5180507,0.092917874,0.19978426,-222.02747,180.95703,-216.21616,207.37311
1,20,24.350495590010226,0.517655,0.52990615,0.24334568,-458.73502,-81.56271,-439.1261,-67.12537
564,854,19.996097799808595,0.51747066,-0.29619506,0.21581525,308.39404,161.79446,324.19568,174.04813
99,100,14.171517153805619,0.5155014,0.5303425,0.24662872,-300.62173,229.08148,-286.79636,225.96848
637,892,47.94183937171956,0.51510197,0.26953438,0.28757367,400.2414,62.397217,403.09595,14.540436
914,1196,34.89357997738246,0.5139068,0.52152216,0.27635786,-317.62585,1.7585602,-329.35474,-31.104721
533,560,34.01533376844653,0.5135597,-0.2689679,0.2963891,269.9652,67.985016,280.0559,35.500854
732,734,16.509531383536256,0.51324725,0.1113366,0.33115092,493.35754,3.057022,506.5622,12.966705
892,929,48.642105509170904,0.5127247,0.44309327,0.28615436,403.09595,14.540436,400.92517,-34.053207
486,974,22.02847505055565,0.511856,0.020011723,0.057133865,216.11499,-169.28204,225.89746,-189.01924
717,1315,34.6398338368725,0.511655,0.7332008,0.31696627,436.66296,266.58542,471.30103,266.23502
725,760,43.05744654705199,0.51127416,-0.30252537,0.11341667,508.98615,-159.79039,532.114,-123.471725
841,1062,25.296995673457292,0.5096321,0.43699387,0.011553689,43.81952,-113.4055,69.114136,-113.05858
