roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
853,1087,35.96065666289833,0.47163963,0.33559135,0.26245221,472.443,355.9583,508.2035,359.7472
732,1289,37.12203893679805,0.47048593,0.3271195,0.12668207,493.35754,3.057022,514.2712,33.727295
241,1201,46.910396082833074,0.47047123,0.3512833,0.13346507,-110.1488,-119.09404,-124.353516,-74.38597
660,1102,32.701786494724075,0.47034523,0.4101321,0.12632325,416.6494,-164.49583,444.4845,-181.66019
327,358,48.46980643809109,0.4699222,0.5707984,0.050179765,18.774902,-152.97876,63.89203,-170.69223
619,660,45.89511379544645,0.46986106,0.44523582,0.28174296,389.885,-201.77892,416.6494,-164.49583
682,1102,13.310653239216682,0.46928892,0.28026152,0.19967051,437.0539,-170.61665,444.4845,-181.66019
847,972,25.41775196574589,0.46898556,0.2808835,0.10201889,599.1372,129.22693,576.2637,140.31131
552,1090,35.22864676457091,0.4677784,0.3901523,0.33838552,278.51562,-105.355865,313.41614,-110.15292
473,536,44.838348940631676,0.4677688,0.5612081,0.0855599,200.66077,167.96432,244.99689,161.2721
68,1034,48.37746583683154,0.46680072,0.07164859,0.20829673,-322.9091,160.85986,-277.02878,145.51788
678,1197,43.633834886739216,0.46599564,0.8229511,0.17999022,397.2541,270.2798,393.15747,226.83868
609,1291,34.212490384121445,0.46545535,0.19534586,0.1513176,346.7384,97.60666,356.4369,130.41571
81,1119,29.203895980718553,0.46501085,0.2862334,0.30820704,-307.04742,-111.18859,-336.0611,-114.51641
483,487,47.65759004209733,0.46473473,0.0041727237,0.20299935,232.50732,-220.12566,226.39343,-172.86186
161,800,24.585123831503847,0.46446037,0.17317028,0.25353408,-228.90753,67.215576,-240.64178,88.81964
255,1279,45.58967363995692,0.46443963,0.34974256,0.05422907,-97.166016,124.25247,-70.44391,161.18954
535,565,20.351831169789527,0.46410972,0.06204988,0.15897965,268.49536,153.7537,288.0689,159.32803
131,1268,46.001515308400265,0.46408898,-0.14479794,0.24539821,-258.11798,85.43207,-276.9091,43.443573
593,1155,26.402839986505132,0.46340406,0.12870677,0.027299583,347.06238,-56.197754,321.46753,-49.715958
596,1155,44.293090017844,0.46311662,-0.31061968,0.15063207,349.5044,-15.425842,321.46753,-49.715958
1107,1289,38.33758245219465,0.462893,0.3350394,0.14925078,519.6105,-4.236664,514.2712,33.727295
126,910,37.35712740988262,0.46235493,0.4917805,0.13781579,-251.4115,3.5517883,-246.29651,-33.453506
727,905,43.04776342358108,0.4620111,-0.12120687,0.30340004,485.02228,-125.887405,524.86975,-142.1751
190,222,27.291804207619112,0.46192285,0.3273763,0.074309915,-171.68683,146.62811,-145.87091,155.48141
582,583,47.66284803658118,0.46064764,-0.3291808,0.13597296,355.82367,-221.74525,337.15057,-177.89252
1052,1291,44.222613090087705,0.45942742,-0.3667735,0.21238236,339.3081,171.18634,356.4369,130.41571
500,501,46.341609611202,0.4594112,0.24417192,0.09390647,222.5293,-22.502869,222.40051,23.838562
582,659,49.883520164024226,0.45864624,-0.027775588,0.36535627,355.82367,-221.74525,405.38934,-216.12302
