idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
463,1494,9.40862923065843,0,0,0,864691135502885954,864691136137239691
982,1966,9.419978768553577,0,0,0,864691135566274391,864691135686442423
1150,2024,9.450898793236554,0,0,0,864691135662825456,864691135662774512
1847,1902,9.45490348972432,0,0,0,864691135511316745,864691136145574196
543,877,9.458480216186977,0,0,0,864691135938925109,864691137055290998
1477,2219,9.469138081156052,0,0,0,864691135732557241,864691135717457946
1642,2126,9.481755111792332,0,0,0,864691136421279639,864691135928376590
1047,1130,9.495514730650456,0,0,0,864691135214246528,864691135388545921
599,604,9.495767478197918,0,0,0,864691135725838763,864691135778335328
1692,2207,9.519287368285486,0,0,0,864691136034011579,864691135732518585
571,973,9.522571081383521,0,0,0,864691135387988609,864691135209432185
1112,1531,9.528617948055215,0,0,0,864691135640672571,864691135015154934
1236,2072,9.534526731830963,0,0,0,864691135891467401,864691135102390816
1332,1531,9.542923661017033,0,0,0,864691135493031519,864691135015154934
605,953,9.549641249806161,0,0,0,864691135279848865,864691135942730612
1569,1633,9.551463971559535,0,0,0,864691136579629844,864691136118771108
1512,1513,9.580570337928773,0,0,0,864691135493149927,864691135843242211
879,1640,9.597866429576948,0,0,0,864691135271343525,864691136011686318
1517,1985,9.636414270878994,0,0,0,864691136485007404,864691135376096329
1107,1500,9.636547099454223,0,0,0,864691135779705021,864691135520064650
1332,1868,9.64982072372332,0,0,0,864691135493031519,864691135867965317
604,1554,9.651329442102828,0,0,0,864691135778335328,864691135465795653
1502,1584,9.661933553901058,0,0,0,864691135214977920,864691135779716797
2184,2271,9.665989861364421,0,0,0,864691135466236229,864691135587771772
1516,1520,9.667601977739816,0,0,0,864691135810492189,864691135567059223
1285,1810,9.681470962617126,0,0,0,864691135842794979,864691135994077377
794,2075,9.681996488328208,0,0,0,864691136092725684,864691135573327085
184,880,9.689093249628744,0,0,0,864691135565770007,864691135941549825
1486,2248,9.694270472810224,0,0,0,864691135493620831,864691136177778950
710,712,9.717520671446996,0,0,0,864691134949081852,864691135465113157
1203,1381,9.721379326000992,0,0,0,864691135868684566,864691135350542039
505,881,9.735155263271334,0,0,0,864691135455400554,864691135386940245
558,2180,9.74147750600488,0,0,0,864691135398817569,864691135492749415
601,1391,9.757337341713617,0,0,0,864691135539591282,864691135640929595
434,933,9.764890577984032,0,0,0,864691136311179354,864691136287879619
431,981,9.779681794414412,0,0,0,864691135361432391,864691135059954075
1386,2102,9.781226916905629,0,0,0,864691136390474359,864691136914414321
78,524,9.801541103316294,0,0,0,864691135545730856,864691136025333561
1081,2299,9.805585347137594,0,0,0,864691135476311616,864691136239980604
582,2301,9.81353188204943,0,0,0,864691135562004193,864691136177799686
199,1297,9.817877571043535,0,0,0,864691136052101363,864691135686055351
569,1164,9.823791528732672,0,0,0,864691135694264511,864691135939049988
1003,1123,9.834629428707434,0,0,0,864691135619294351,864691135662070512
565,1202,9.844993854746614,0,0,0,864691136618553563,864691136196265704
550,1303,9.8620273777759,0,0,0,864691135498997267,864691134919529994
1071,2227,9.88730418263744,0,0,0,864691136438717086,864691135396940021
453,1452,9.893176638471587,0,0,0,864691136389679223,864691136102330485
743,2128,9.893956134934097,0,0,0,864691135739689073,864691135164887085
241,2293,9.894276325229715,0,0,0,864691136043283030,864691135375888840
495,1804,9.895660463051463,0,0,0,864691135398805281,864691135717163802
135,1691,9.903576727627279,0,0,0,864691135995711402,864691136381353685
727,1143,9.904042003142,0,0,0,864691135741963627,864691134919403530
980,1354,9.90414539473247,0,0,0,864691135234582361,864691136991901845
621,2113,9.90543769855719,0,0,0,864691135464162366,864691136391023120
1535,1974,9.91896768822236,0,0,0,864691135726881195,864691136111294648
1230,1585,9.920258061159435,0,0,0,864691135455819114,864691136484732972
514,740,9.94710570970268,0,0,0,864691135349839831,864691136144674612
672,2025,9.961516350435751,0,0,0,864691136674327431,864691135448130450
1109,1807,9.967836274738831,0,0,0,864691135476495936,864691135867984005
1646,2209,9.981515716563273,0,0,0,864691136177731846,864691135309722950
1319,1600,10.015517560266119,0,0,0,864691136006493898,864691135659566210
1480,2284,10.026732269288885,0,0,0,864691135490483514,864691135305643175
498,2031,10.039027841379836,0,0,0,864691135942611316,864691136091634487
1063,2247,10.064343396367134,0,0,0,864691136391034487,864691135703164283
665,2265,10.064728113565668,0,0,0,864691135943593332,864691136976001308
562,734,10.079901586821144,0,0,0,864691136953958879,864691136177726726
614,2223,10.082704399118393,0,0,0,864691135271282085,864691135728030015
